There are 3002 active hosts online. The hosts are: 
1: 140.253.0.11
2: 140.253.1.233
3: 140.253.1.234
4: 140.253.1.235
5: 140.253.1.236
6: 140.253.1.239
7: 140.253.1.250
8: 140.253.1.253
9: 140.253.2.1
10: 140.253.2.2
11: 140.253.2.129
12: 140.253.2.137
13: 140.253.2.184
14: 140.253.2.185
15: 140.253.3.129
16: 140.253.3.131
17: 140.253.3.132
18: 140.253.3.140
19: 140.253.3.209
20: 140.253.3.211
21: 140.253.3.212
22: 140.253.3.215
23: 140.253.3.217
24: 140.253.3.218
25: 140.253.3.220
26: 140.253.3.222
27: 140.253.3.225
28: 140.253.3.228
29: 140.253.3.229
30: 140.253.3.230
31: 140.253.8.1
32: 140.253.8.4
33: 140.253.8.9
34: 140.253.8.10
35: 140.253.8.11
36: 140.253.8.12
37: 140.253.8.13
38: 140.253.8.14
39: 140.253.8.15
40: 140.253.8.16
41: 140.253.8.17
42: 140.253.8.18
43: 140.253.8.19
44: 140.253.8.20
45: 140.253.8.21
46: 140.253.8.22
47: 140.253.8.23
48: 140.253.8.24
49: 140.253.8.25
50: 140.253.8.26
51: 140.253.8.27
52: 140.253.8.28
53: 140.253.8.29
54: 140.253.8.30
55: 140.253.8.31
56: 140.253.8.32
57: 140.253.8.33
58: 140.253.8.34
59: 140.253.8.35
60: 140.253.8.36
61: 140.253.8.37
62: 140.253.8.38
63: 140.253.8.39
64: 140.253.8.40
65: 140.253.8.41
66: 140.253.8.42
67: 140.253.8.43
68: 140.253.8.44
69: 140.253.8.45
70: 140.253.8.46
71: 140.253.8.47
72: 140.253.8.48
73: 140.253.8.51
74: 140.253.8.110
75: 140.253.8.111
76: 140.253.8.112
77: 140.253.8.113
78: 140.253.8.114
79: 140.253.8.115
80: 140.253.8.116
81: 140.253.8.117
82: 140.253.8.118
83: 140.253.8.119
84: 140.253.8.120
85: 140.253.8.123
86: 140.253.8.125
87: 140.253.8.126
88: 140.253.8.127
89: 140.253.8.128
90: 140.253.8.130
91: 140.253.8.131
92: 140.253.8.132
93: 140.253.8.133
94: 140.253.8.135
95: 140.253.8.136
96: 140.253.8.138
97: 140.253.8.139
98: 140.253.8.140
99: 140.253.8.141
100: 140.253.8.144
101: 140.253.8.145
102: 140.253.8.146
103: 140.253.8.147
104: 140.253.8.149
105: 140.253.8.150
106: 140.253.8.153
107: 140.253.8.154
108: 140.253.8.156
109: 140.253.8.157
110: 140.253.8.158
111: 140.253.8.200
112: 140.253.8.201
113: 140.253.8.202
114: 140.253.8.203
115: 140.253.8.204
116: 140.253.8.210
117: 140.253.8.211
118: 140.253.8.212
119: 140.253.8.213
120: 140.253.8.214
121: 140.253.8.221
122: 140.253.8.222
123: 140.253.8.231
124: 140.253.8.232
125: 140.253.8.241
126: 140.253.8.251
127: 140.253.8.252
128: 140.253.9.1
129: 140.253.10.251
130: 140.253.10.252
131: 140.253.10.253
132: 140.253.12.2
133: 140.253.12.3
134: 140.253.12.5
135: 140.253.12.6
136: 140.253.12.7
137: 140.253.12.8
138: 140.253.12.9
139: 140.253.12.20
140: 140.253.12.21
141: 140.253.12.22
142: 140.253.12.23
143: 140.253.12.24
144: 140.253.12.25
145: 140.253.12.29
146: 140.253.12.63
147: 140.253.12.67
148: 140.253.12.101
149: 140.253.12.102
150: 140.253.12.104
151: 140.253.12.106
152: 140.253.12.110
153: 140.253.12.111
154: 140.253.12.254
155: 140.253.22.1
156: 140.253.22.17
157: 140.253.22.40
158: 140.253.23.27
159: 140.253.23.45
160: 140.253.23.50
161: 140.253.32.1
162: 140.253.32.12
163: 140.253.32.14
164: 140.253.32.19
165: 140.253.32.20
166: 140.253.32.25
167: 140.253.32.28
168: 140.253.32.30
169: 140.253.32.32
170: 140.253.32.45
171: 140.253.32.49
172: 140.253.32.51
173: 140.253.32.52
174: 140.253.32.54
175: 140.253.32.64
176: 140.253.32.66
177: 140.253.32.78
178: 140.253.32.79
179: 140.253.32.84
180: 140.253.32.86
181: 140.253.32.89
182: 140.253.32.92
183: 140.253.32.93
184: 140.253.32.94
185: 140.253.32.100
186: 140.253.32.107
187: 140.253.32.112
188: 140.253.32.117
189: 140.253.32.118
190: 140.253.32.119
191: 140.253.32.126
192: 140.253.32.140
193: 140.253.32.141
194: 140.253.32.152
195: 140.253.32.153
196: 140.253.32.160
197: 140.253.32.164
198: 140.253.32.167
199: 140.253.32.171
200: 140.253.32.174
201: 140.253.32.177
202: 140.253.32.183
203: 140.253.32.185
204: 140.253.32.188
205: 140.253.32.190
206: 140.253.32.193
207: 140.253.32.194
208: 140.253.32.195
209: 140.253.32.198
210: 140.253.32.203
211: 140.253.32.204
212: 140.253.32.207
213: 140.253.32.209
214: 140.253.32.214
